VendorID,passenger_count,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,extra,mta_tax,tolls_amount,improvement_surcharge,congestion_surcharge,airport_fee,tip_amount
0,0,0,0,55,126,7,1,0,1,1,0,1
1,1,0,0,67,197,2,1,5,1,1,1,18
1,3,0,0,67,38,0,1,5,1,1,1,16
1,2,0,0,114,38,1,1,0,1,1,0,3
1,1,0,0,132,121,1,1,0,1,1,0,7
0,1,0,0,114,159,8,1,0,1,1,0,3
1,1,0,0,120,137,0,1,0,1,1,0,5
1,1,0,0,126,205,0,1,0,1,1,0,5
1,1,0,0,67,198,1,1,5,1,1,1,15
1,3,0,0,66,206,0,1,0,1,1,0,7
1,2,0,0,64,222,2,1,0,1,0,1,18
1,1,0,0,24,35,0,1,0,1,1,0,6
0,1,0,0,134,201,6,1,0,1,1,0,5
0,0,0,0,33,34,7,1,0,1,1,0,9
1,1,0,0,82,171,1,1,2,1,1,0,17
1,1,0,0,118,75,0,1,0,1,1,0,2
1,5,0,0,121,115,0,1,0,1,1,0,4
1,1,0,0,33,120,2,1,0,1,1,0,5
1,2,0,0,41,66,2,1,0,1,1,0,5
1,2,0,0,83,146,0,1,0,1,1,0,4
1,2,0,0,120,119,1,1,0,1,1,0,3
1,1,0,0,58,89,2,1,0,1,1,0,7
0,1,0,0,79,8,8,1,0,1,1,0,5
1,2,0,0,68,229,0,1,0,1,1,0,3
1,1,0,0,33,72,1,1,0,1,1,0,5
1,1,0,0,24,122,0,1,0,1,1,0,3
1,1,0,0,121,207,0,1,0,1,1,0,8
1,2,0,0,69,118,0,1,0,1,1,0,3
1,1,0,0,118,115,2,1,0,1,1,0,3
1,1,0,0,70,213,0,1,0,1,1,0,4
1,1,0,0,92,229,0,1,0,1,1,0,10
1,1,0,0,66,93,0,1,0,1,1,0,6
1,1,0,0,120,119,2,1,0,1,1,0,3
0,1,0,0,70,121,6,1,0,1,1,0,2
1,1,0,0,82,229,2,1,0,1,1,0,5
1,1,0,0,64,226,0,1,0,1,0,1,8
1,2,0,0,69,116,1,1,5,1,1,0,13
1,2,0,0,81,228,0,1,0,1,1,0,4
1,5,0,0,41,66,0,1,0,1,1,0,3
1,1,0,0,81,205,0,1,0,1,1,0,4
0,2,1,0,117,110,6,1,5,1,1,0,18
0,1,0,0,53,38,8,1,0,1,1,0,4
1,1,0,0,122,84,0,1,0,1,1,0,4
1,1,0,0,80,118,1,1,0,1,1,0,4
0,1,0,0,53,38,7,1,0,1,1,0,3
1,1,0,0,115,35,0,1,0,1,1,0,5
0,0,0,1,115,202,7,1,0,1,1,0,4
0,1,0,1,82,84,8,1,0,1,1,0,4
1,5,0,0,57,181,2,1,0,1,1,0,2
1,1,0,0,70,38,0,1,0,1,1,0,3
1,3,0,0,92,66,1,1,0,1,1,0,5
1,1,0,0,122,121,0,1,0,1,1,0,2
0,1,0,0,120,198,8,1,0,1,1,0,7
1,2,0,0,120,119,0,1,0,1,1,0,3
1,1,0,0,81,119,2,1,0,1,1,0,3
1,1,0,0,70,202,0,1,0,1,1,0,3
0,1,0,0,82,146,7,1,0,1,1,0,3
1,1,0,0,46,199,0,1,0,1,1,0,5
0,1,0,0,134,197,6,1,0,1,1,0,4
1,1,0,0,70,40,0,1,0,1,1,0,3
0,1,0,1,69,56,8,1,0,1,1,0,4
1,2,0,0,41,122,1,1,0,1,1,0,3
1,1,0,0,86,1,0,1,0,1,1,0,5
1,1,0,0,118,137,0,1,0,1,1,0,3
1,1,0,0,123,139,0,1,0,1,1,0,4
1,6,0,0,80,146,0,1,0,1,1,0,3
1,1,0,0,41,201,1,1,0,1,1,0,5
1,1,0,0,83,89,0,1,0,1,1,0,4
1,1,0,0,121,142,1,1,0,1,1,0,6
1,1,0,0,48,66,2,1,0,1,1,0,1
1,5,0,0,120,204,1,1,0,1,1,0,3
0,1,0,0,103,199,6,1,0,1,1,0,5
1,2,0,0,69,137,0,1,0,1,1,0,3
0,1,0,0,76,202,6,1,0,1,1,0,1
1,1,0,0,92,227,1,1,0,1,1,0,6
1,1,0,0,53,116,0,1,5,1,1,0,14
1,1,0,0,80,115,2,1,0,1,1,0,7
0,1,0,0,24,202,7,1,0,1,1,0,5
0,1,0,0,123,205,8,1,0,1,1,0,5
1,1,0,0,84,129,1,1,0,1,0,0,2
1,1,0,0,122,129,0,1,0,1,0,0,1
0,1,0,0,64,161,4,1,0,1,0,1,11
1,1,0,0,134,119,2,1,0,1,1,0,4
1,1,0,0,69,119,2,1,0,1,1,0,6
0,2,0,0,80,119,7,1,0,1,1,0,1
1,1,0,0,115,199,0,1,0,1,1,0,2
1,1,0,0,26,38,0,1,0,1,1,0,1
1,1,0,0,128,88,1,1,0,1,1,0,10
0,1,0,0,53,204,6,1,0,1,1,0,3
1,1,0,0,60,216,1,1,0,1,1,0,2
1,1,0,0,55,229,1,1,0,1,1,0,4
1,2,0,0,24,8,1,1,0,1,1,0,5
1,1,0,0,64,69,0,1,0,1,0,1,8
0,1,0,0,120,138,6,1,0,1,1,0,6
0,1,0,0,45,39,7,1,0,1,1,0,3
0,1,0,0,48,72,6,1,0,1,1,0,5
1,1,0,0,122,120,0,1,0,1,1,0,5
1,1,0,0,86,38,0,1,0,1,1,0,2
1,1,0,0,70,159,0,1,0,1,1,0,5
0,1,0,0,133,146,6,1,0,1,1,0,1
1,2,0,0,83,205,0,1,0,1,1,0,7
1,1,0,0,57,137,0,1,0,1,1,0,3
1,1,0,0,86,204,2,1,0,1,1,0,3
0,1,0,1,55,229,8,1,0,1,1,0,4
1,1,0,1,103,200,2,1,0,1,1,0,6
1,2,0,0,24,205,1,1,0,1,1,0,4
1,1,0,0,67,213,0,1,5,1,1,1,19
1,1,3,0,64,231,0,0,18,1,0,0,18
1,1,0,0,33,93,0,1,0,1,1,0,5
1,2,0,0,33,38,1,1,0,1,1,0,2
1,1,0,0,24,75,1,1,0,1,1,0,4
0,1,0,0,122,207,8,1,0,1,1,0,2
1,1,0,0,128,213,1,1,0,1,1,0,3
1,1,0,0,118,72,0,1,0,1,1,0,4
0,1,0,0,123,35,6,1,0,1,1,0,4
