,,0
store_and_fwd_flag,airport_fee,0.00021973500892965675
store_and_fwd_flag,improvement_surcharge,0.00021973500892965675
improvement_surcharge,airport_fee,0.0003132392680486596
store_and_fwd_flag,mta_tax,0.0004067435271676625
mta_tax,improvement_surcharge,0.0004254443789914631
mta_tax,airport_fee,0.0004254443789914631
improvement_surcharge,congestion_surcharge,0.0006779058786127708
VendorID,congestion_surcharge,0.0011828288778553864
VendorID,airport_fee,0.0011828288778553864
store_and_fwd_flag,congestion_surcharge,0.0012669827110624889
VendorID,mta_tax,0.0012950339887981897
VendorID,improvement_surcharge,0.0012950339887981897
RatecodeID,improvement_surcharge,0.0013230852665338905
passenger_count,improvement_surcharge,0.0013791878220052924
RatecodeID,store_and_fwd_flag,0.0016316493216266001
tolls_amount,improvement_surcharge,0.0017345040066575033
store_and_fwd_flag,tolls_amount,0.0017532048584813038
passenger_count,mta_tax,0.0017719057103051045
tip_amount,improvement_surcharge,0.0018186578398646058
mta_tax,tolls_amount,0.002061768913574013
passenger_count,congestion_surcharge,0.002145922746781116
VendorID,tolls_amount,0.0025292902091690276
VendorID,RatecodeID,0.0025479910609928283
tolls_amount,airport_fee,0.0028098029865260363
mta_tax,tip_amount,0.0028846063938212387
extra,improvement_surcharge,0.003090315763883045
passenger_count,store_and_fwd_flag,0.003165119171178247
store_and_fwd_flag,tip_amount,0.0032025208748258484
tolls_amount,congestion_surcharge,0.0035952387631256605
passenger_count,airport_fee,0.0036139396149494608
mta_tax,congestion_surcharge,0.003707443874068464
passenger_count,tolls_amount,0.004259119002870581
VendorID,extra,0.004633136039346592
VendorID,tip_amount,0.004979101798086903
extra,mta_tax,0.004988452223998803
passenger_count,RatecodeID,0.00520351201997251
RatecodeID,mta_tax,0.005437272667770017
passenger_count,tip_amount,0.006157255462986339
extra,airport_fee,0.006559323777198051
RatecodeID,congestion_surcharge,0.006736981869524157
PULocationID,improvement_surcharge,0.010935323103967385
PULocationID,airport_fee,0.011290639288619597
extra,tolls_amount,0.011309340140443398
DOLocationID,improvement_surcharge,0.011543100788240904
PULocationID,mta_tax,0.011926468250628815
store_and_fwd_flag,PULocationID,0.012973715952761648
DOLocationID,mta_tax,0.013478638952004263
RatecodeID,tolls_amount,0.013590844062947067
PULocationID,tolls_amount,0.01371239959980177
RatecodeID,extra,0.015068211357027312
RatecodeID,airport_fee,0.015554433504446127
store_and_fwd_flag,DOLocationID,0.015788194152243636
tip_amount,congestion_surcharge,0.01660168120657896
RatecodeID,tip_amount,0.017134655483557276
RatecodeID,DOLocationID,0.02045405668228188
DOLocationID,congestion_surcharge,0.021735065032212217
VendorID,DOLocationID,0.02276361188252125
VendorID,PULocationID,0.023146979344909162
extra,congestion_surcharge,0.02470850047219651
DOLocationID,airport_fee,0.024727201324020308
RatecodeID,PULocationID,0.025250825175086724
DOLocationID,tolls_amount,0.027541679523502297
congestion_surcharge,airport_fee,0.030084995371539174
VendorID,store_and_fwd_flag,0.03030940559342478
store_and_fwd_flag,extra,0.030851730296314998
passenger_count,PULocationID,0.03131925159191001
VendorID,passenger_count,0.03346049912573518
passenger_count,DOLocationID,0.03458255023516321
PULocationID,extra,0.03552694325226514
extra,tip_amount,0.03669574649125268
passenger_count,extra,0.04458750596089652
tip_amount,tolls_amount,0.045859163884914955
tip_amount,airport_fee,0.0472710781976119
DOLocationID,tip_amount,0.05754719627479032
PULocationID,congestion_surcharge,0.06281148606319018
PULocationID,tip_amount,0.08615949956520519
DOLocationID,extra,0.09191936192693577
PULocationID,DOLocationID,0.18243148475413054
